Condition_rows,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,9.767263799993088,None,1,0.6334061000088695,9.767263799993088,None,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
40:44,0,0,0,10,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
8:12,0,1,1,2,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
36:40,0,2,2,9,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
12:16,0,3,3,3,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
0:4,0,4,4,0,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
16:20,0,5,5,4,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
28:32,0,6,6,7,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
44:48,0,7,7,11,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
24:28,0,8,8,6,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
32:36,0,9,9,8,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
4:8,0,10,10,1,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
20:24,0,11,11,5,,,,,,,,,,,,,,,,001,2021_Nov_23_1624,Gallery_fMRI,2021.2.3,142.9580304221615,
